product_description,rating_score,number_of_global_rating,current_price,original_price,display_size,disk_size,ram,operating_system
"HP Newest 14 FHD Laptop for Business and Students Essential, 16GB RAM, 512GB PCIe SSD, AMD Ryzen Dual-Core Processor, Webcam, HDMI, WiFi, Fast Charge, Long Battery Life, Win 11 Home, GM Accessories",4.3 ,805,449.00,,14 inches,512 GB,16 GB,Windows 11 S
"HP 2022 New 15 Laptop, 15.6"" HD LED Display, Intel Dual-Core Processor, Intel UHD Graphics, 16GB DDR4 RAM, 1TB SSD, Ethernet Port, USB Type-C, Long Battery Life, Windows 11",4.3 ,598,479.00,,15.6 inches,1 TB,16 GB,Windows 11 Home
Gateway Newest Touchscreen 11.6 HD 2-in-1 Convertible Laptop in Blue Intel N4020 4GB RAM 64GB SSD Mini-HDMI Webcam Windows 10 S (Renewed) (GT-116),3.9 ,666,134.85,169.99,11.6 inches,64 GB,4 GB,Windows 10 S
ASUS 15 Slim Chrome OS Laptop Intel Processor up to 2.4GHz 15.6in Full HD NanoEdge-Display with 180 Degree-Hinge 4GB DDR4 32GB Storage WiFi + BT (C523 – Renewed),4.4 ,22,134.99,,15.6 inches,32 GB,-,Chrome OS
"SGIN Laptop 15.6 Inch 4GB DDR4 128GB SSD, Windows 11 Laptop with Celeron N4020, up to 2.8GHz, Mini HDMI, 2.4/5.0G WiFi, 2 x USB 3.0, Expandable Storage 512GB TF(Sliver)",4.5 ,1125,259.99,1049.99,15.6 inches,128 GB,-,Windows 11 Home
"HP 2022 Stream 14"" HD Laptop, Intel Celeron N4120 Processor, 4GB RAM, 64GB eMMC Storage, HD Webcam, HDMI, Wi-Fi, Bluetooth, Rose Gold, Office 365 1-Year, Windows 11 S, 32GB SnowBell USB Card",4.3 ,119,289.00,,14 inches,64 GB,4 GB,Windows 11 S
"HP 2021 Newest 15.6"" Pavilion HD Laptop, Intel Quad-core Pentium Processor, 16GB RAM, 1TB SSD, Intel UHD Graphics, HD Webcam, Bluetooth, HDMI, USB Type-C, Scarlet Red, Windows 10",4.2 ,140,499.00,,15.6 inches,1 TB,16 GB,Windows 10
"Lenovo 2022 Newest Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 8GB DDR4 RAM, 256GB PCIe NVMe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Windows 11 Home, Almond",4.4 ,2737,388.00,959.00,15.6 inches,256 GB,8 GB,Windows 11
"Dell Newest Inspiron 3000 i3511 Laptop - 15.6"" FHD Touchscreen - 10th Gen Intel Core i5-1035G1 - UHD Graphics - 16GB DDR4-512GB NVMe SSD - HDMI Bluetooth Wi-Fi - Windows 11 Home",,,769.00,,15.6 inches,512 GB,16 GB,Windows 11 Home
"jumper 14"" Laptop, 16GB RAM 1TB NVMe SSD, Intel Core i5-1035G1 (up to 3.6GHz), 1080p FHD Display, Windows 11 Laptops Computer with 51300mWH Battery, Dual Stereo Speakers, Cooling Fan, Webcam, WiFi",4.6 ,144,549.99,1899.99,14 inches,1 TB,16 GB,Windows 11
"HP 2023 15.6"" FHD Premium Business Laptop, AMD 6-Core Ryzen 5 5500U Upto 4.0GHz, 32GB RAM, 256GB PCIe SSD, AMD Radeon Graphics, USB-C, HDMI, Windows 11 Pro + HDMI Cable, Blue",,,651.99,,15.6 inches,256 GB,32 GB,Windows 11 Pro
"BiTECOOL 15.6-inch Windows 11 Laptop, Intel Core i3-5005U and 12GB RAM, 512GB SSD, FHD IPS Display Laptop Computer with 2.4G/5G Dual Band WiFi, Bluetooth 5.0, RJ45, Type C, Webcam, Long Battery Life",,,349.00,,15.6 inches,512 GB,-,Windows 11 Pro
"HP 2023 15'' HD IPS Laptop, Windows 11, Intel Pentium 4-Core Processor Up to 2.70GHz, 8GB RAM, 128GB SSD, HDMI, Super-Fast 6th Gen WiFi, Dale Red (Renewed)",4.3 ,63,281.95,295.99,15 inches,128 GB,8 GB,Windows 11
"HP 2021 Stream 14"" HD SVA Laptop Computer, Intel Celeron N4000 Processor, 4GB RAM, 64GB eMMC Flash Memory, Webcam, 1-Year Office, Intel UHD Graphics 600, Win 10S, Rose Pink, 32GB SnowBell USB Card",4.2 ,1044,289.00,,14 inches,64 GB,4 GB,Windows 10 S
"Samsung Chromebook 4 (2021 Model) 11.6"" Intel UHD Graphics 600, Intel Celeron Processor N4020, 4GB, 16GB- Wi-Fi - Satin Gray- (XE310XBA-KB1US)",4.2 ,96,125.67,224.99,11.6 inches,0 TB,4 GB,Chrome OS
"Lenovo IdeaPad 15.6"" Laptop Newest, 20GB RAM, 1TB SSD, AMD Dual-core Processor, 15.6 Inch HD Anti-Glare Display, WiFi6 Bluetooth 5.0, 9.5Hr Battery, Windows 11 +GM Accessories",4.4 ,205,438.00,,15.6 inches,1 TB,20.0 GB,Windows 11 S
"Tulasi Laptop Computer, 2023 Laptop, Windows 11 Laptop 12GB RAM 256GB NVMe SSD Intel 4-Cores N5095 Laptops 14 inch 1080P IPS Display, WiFi 5, Bluetooth, USB Type C, Webcam",4.0 ,19,319.00,,14 inches,256 GB,12.0 GB,Windows 11 Pro
"ASUS Chromebook C203XA Rugged & Spill Resistant Laptop, 11.6"" HD, 180 Degree, MediaTek Quad-Core Processor, 4GB RAM, 32GB eMMC, MIL-STD 810G Durability, Dark Grey, Education, Chrome OS, C203XA-YS02-GR",4.3 ,582,134.00,249.99,,,,
Lenovo Laptop 17inch Screen| Ryzen5 5625U| Windows11 Laptop| FHD IPS Display Narrow Bezel| USB Type-C| Wireless Wi-Fi 6| SD Card Reader| Fingerprint| Webcam| HDMI Cable (16GB RAM | 1TB SSD),4.5 ,302,649.99,,17 inches,1 TB,16.0 GB,Windows 11 Home
HP Chromebook 14a-na0052tg 14-inch HD Laptop PC Intel Celeron N4120 UHD Graphics 600 4GB RAM 64GB eMMC Thin Computer Notebook w/ WiFi & Bluetooth Webcam USB-C Google Chrome OS Mineral Silver (Renewed),4.2 ,39,139.95,,14 inches,64 GB,4.0 GB,Chrome OS
"2022 ASUS L410 Thin Light Student Laptop Computer, 14"" FHD Display, Intel Celeron Processor, 4GB RAM, 256 GB Storage, 12Hours Battery, Backlit Keyboard, Windows 10 + 1 Year Microsoft 365, Star Black",4.1 ,41,259.99,279.99,14 inches,256 GB,4.0 GB,Windows 10
"BiTECOOL Windows 11 Laptop, 14 inches HD Clear Display, Intel Celeron J4005 Dual Core, 6GB RAM and 256GB SSD Laptop Computer, 2.4G WiFi, BT4.0, Long Lasting Battery, Mic",4.1 ,39,219.00,239.00,14 inches,256 GB,6 GB,Windows 11
"Tulasi Laptop Computer, 2023 Laptop, Windows 11 Laptop 12GB RAM 256GB NVMe SSD Intel 4-Cores N5095 ",4.0 ,19,319.00,,14 inches,256 GB,12.0 GB,Windows 11 Pro
"HP Newest Flagship 15.6 HD Touchscreen IPS Laptop, 4-Core i5-1135G7(Up to 4.2GHz, Beat i7-1060G7), 16GB RAM, 1TBGB PCIe SSD, Iris Xe Graphics, Bluetooth, WiFi, Windows 11 Home S,w/GM Accessories",4.3 ,183,669.00,,15.6 inches,1 TB,16.0 GB,Windows 11 Home
"HP 2023 Convertible 2-in-1 Chromebook Laptop, 14"" HD IPS Touchscreen, Intel Celeron Processor up to 2.60GHz, 4GB Ram, 64GB SSD, 4K Graphics, Super-Fast 6th Gen WiFi, Chrome OS, Dale Blue(Renewed)",4.3 ,31,195.00,,14 inches,64 GB,-,Chrome OS
"MSI 2022 GE76 Raider 17.3"" 144 Hz FHD Gaming Laptop 12th Intel Core i9-12900H 14-Core 64GB DDR5 2TB NVMe SSD NVIDIA GeForce RTX 3060 6GB RGB Backlit KB Thunderbolt 4 WiFi 6 Windows 10 Pro w/32GB USB",,,2399.00,,17.3 inches,2 TB,64 GB,Windows 10 Pro
"Apple 2023 MacBook Pro Laptop M2 Pro chip with 12‑core CPU and 19‑core GPU: 14.2-inch Liquid Retina XDR Display, 16GB Unified Memory, 1TB SSD Storage. Works with iPhone/iPad; Space Gray",4.5 ,84,2449.99,,14.2 inches,1 TB,16.0 GB,Mac OS
"Lenovo V15 G2 Business Laptop, 15.6"" FHD Display, Intel Core i7-1165G7, 24GB RAM, 1TB PCIe SSD, Webcam, HDMI, Type-C, RJ-45, Wi-Fi, Windows 11 Pro, Black",4.7 ,24,899.00,,15.6 inches,1 TB,24 GB,Windows 11 Pro
"Acer Aspire 5 A515-56-347N Slim Laptop - 15.6"" Full HD IPS Display - 11th Gen Intel i3-1115G4 Dual Core Processor - 8GB DDR4 - 128GB NVMe SSD - WiFi 6 - Amazon Alexa - Windows 11 Home in S Mode",4.3 ,1991,299.99,379.99,15.6 inches,128 GB,8.0 GB,Windows 11 S
"Newest HP 14"" HD Laptop, Windows 11, Intel Celeron Dual-Core Processor Up to 2.60GHz, 4GB RAM, 64GB SSD, Webcam, Dale Pink(Renewed) (Dale Pink)",4.2 ,966,220.99,,14 inches,64 GB,4.0 GB,Windows 11
"ASUS TUF Dash 15 (2022) Gaming Laptop, 15.6"" 144Hz FHD Display, Intel Core i7-12650H, GeForce RTX 3060, 16GB DDR5, 512GB SSD, Thunderbolt 4, Windows 11 Home, Off Black, FX517ZM-AS73",4.5 ,1007,1140.00,,15.6 inches,512 GB,16 GB,Windows 11 Home
"ASUS TUF Gaming F15 Gaming Laptop, 15.6” 144Hz FHD Display, Intel Core i5-11400H Processor, GeForce RTX 2050, 8GB DDR4 RAM, 512GB PCIe SSD Gen 3, Wi-Fi 6, Windows 11, FX506HF-ES51",4.6 ,1421,699.99,,15.6 inches,512 GB,8.0 GB,Windows 11 Home
"Lenovo IdeaPad 1 Laptop, 15.6"" HD Display, AMD Athlon Silver 3050U Processor, Windows 11 Home, 12GB RAM, 384GB SSD (128GB eMMC+256GB PCIe SSD), Webcam, HDMI, WiFi 6, USB Type-C, Long Battery Life, PCM",,,399.00,449.00,15.6 inches,-,12.0 GB,Windows 11 Home
