title,price_cleaned,bedrooms_cleaned,location_clean,post_time_category
!! LARGE GREENE AVE 2 BED / 2 BATH parking +gym,3100,1,bed stuy,longer than a month but within six months
"!! SPACIOUS 3 BED ON 8TH AVE, MINUTES FROM PROSPECT PARK, NO FEE",4200,1,park slope,longer than a month but within six months
!!! TRUE 3 BED+1 BATH (ALL UTILITIES INCLUDED ELECTRIC/HEAT/HOT WATER),5990,1,lower east side,longer than a month but within six months
!!HUGE PRIVATE OUTDOOR ROOF DECK!!  !!STEPS TO RIVERSIDE PARK!!,3495,1,upper west side,longer than a month but within six months
!*INSANE LOCATION!*PRIME BED-STUY STUDIO!*LAUNDY ON SITE!*WOW!,1695,1,bed stuy,longer than a month but within six months
"""A REAL GEM!!"" PRISTINE 3BR-SPACIOUS LIVNG RM-QN BRS-DW-AC-UNION SQ PK",4650,1,gramercy,longer than a month but within six months
"""A REAL GEM!!"" PRISTINE 3BR-SPACIOUS LIVNG RM-QN BRS-SS-DW-UNION SQ PK",4850,1,gramercy,longer than a month but within six months
"""A REAL GEM!"" PRISTINE 3BR-SPACIOUS LIVNG RM-GRAN-SS-DW-MW-UNION SQ PK",4850,1,gramercy,longer than a month but within six months
"""ABSOLUTE CLASS"" GORGEOUS GIGANTIC 1BR-DM/ELEV/LNDRY/GYM-DW-CENTRAL PK",3800,1,upper east side,longer than a day but within a month
"""ABSOLUTE CLASS"" GORGEOUS GIGANTIC 1BR-ELEV/LNDRY/GYM-SS-DW-CENTRAL PK",3750,1,upper east side,longer than a month but within six months
"""ABSOLUTE GEM”(SPACIOUS)1BR-LNDRY-COMF LIVNG RM-QN BR-DW-MW-CENTRAL PK",2695,1,upper east side,longer than a month but within six months
"""AWESOME”!!” 2BR/2BA-DM/ELEV/LNDRY-W/D IN UNIT-DINING AREA-DW-CNTRL PK",6500,1,upper east side,longer than a month but within six months
"""STRAIGHT UP CLASS"" GORGEOUS GIGANTC 1BR-DM/ELEV/LNDRY/GYM-DW-CNTRL PK",3900,1,upper east side,longer than a month but within six months
"""ULTIMATE APT!"" BEAUTIFUL(LUXURY)2BR/2.5BA-VIRT DM/ELEV/GYM-WD UNIT-DW",9500,1,upper east side,longer than a month but within six months
